2018-11-23T11:28:44.741283	+034.9C
2018-11-23T11:28:54.634291	+034.7C
2018-11-23T11:29:04.526420	+035.0C
2018-11-23T11:29:14.420255	+035.2C
2018-11-23T11:29:24.313090	+035.3C
2018-11-23T11:29:34.206244	+035.5C
2018-11-23T11:29:44.100257	+035.6C
2018-11-23T11:29:53.993257	+035.7C
2018-11-23T11:30:03.885484	+035.7C
2018-11-23T11:30:13.779257	+035.8C
2018-11-23T11:30:23.672258	+035.9C
2018-11-23T11:30:33.565185	+035.9C
2018-11-23T11:30:43.458184	+036.0C
2018-11-23T11:30:53.352258	+036.0C
2018-11-23T11:31:03.244337	+036.1C
2018-11-23T11:31:13.138262	+036.1C
2018-11-23T11:31:23.030192	+036.1C
2018-11-23T11:31:32.923225	+036.1C
2018-11-23T11:31:42.815501	+036.1C
2018-11-23T11:31:52.708393	+036.1C
2018-11-23T11:32:02.602125	+036.1C
2018-11-23T11:32:12.495368	+036.2C
2018-11-23T11:32:22.388254	+036.2C
2018-11-23T11:32:32.280348	+035.7C
2018-11-23T11:32:42.173170	+035.5C
2018-11-23T11:32:52.067275	+035.3C
2018-11-23T11:33:01.960128	+035.1C
2018-11-23T11:33:11.854320	+035.0C
2018-11-23T11:33:21.749257	+034.9C
2018-11-23T11:33:31.642226	+034.7C
2018-11-23T11:33:41.535339	+034.7C
2018-11-23T11:33:51.429260	+034.7C
2018-11-23T11:34:01.322206	+034.7C
2018-11-23T11:34:11.216221	+034.7C
2018-11-23T11:34:21.110219	+034.7C
2018-11-23T11:34:31.005260	+034.7C
2018-11-23T11:34:40.899261	+034.8C
2018-11-23T11:34:50.793206	+034.7C
2018-11-23T11:35:00.688260	+034.9C
2018-11-23T11:35:10.582403	+034.9C
2018-11-23T11:35:20.475216	+034.9C
2018-11-23T11:35:30.369201	+034.4C
2018-11-23T11:35:40.263342	+034.9C
2018-11-23T11:35:50.158257	+035.3C
2018-11-23T11:36:00.052228	+035.5C
2018-11-23T11:36:09.947126	+035.6C
2018-11-23T11:36:19.842186	+035.6C
2018-11-23T11:36:29.737257	+035.6C
2018-11-23T11:36:39.631485	+035.7C
2018-11-23T11:36:49.527279	+035.6C
2018-11-23T11:36:59.421258	+035.5C
2018-11-23T11:37:09.315492	+035.6C
2018-11-23T11:37:19.211253	+035.6C
2018-11-23T11:37:29.106276	+035.6C
2018-11-23T11:37:39.001087	+035.6C
2018-11-23T11:37:48.896296	+035.7C
2018-11-23T11:37:58.790015	+035.7C
2018-11-23T11:38:08.685255	+035.7C
2018-11-23T11:38:18.579216	+035.7C
2018-11-23T11:38:28.473126	+035.7C
2018-11-23T11:38:38.367175	+035.7C
2018-11-23T11:38:48.262258	+035.7C
2018-11-23T11:38:58.156236	+035.8C
2018-11-23T11:39:08.050142	+035.9C
2018-11-23T11:39:17.945255	+035.9C
2018-11-23T11:39:27.839291	+035.8C
2018-11-23T11:39:37.734188	+035.8C
2018-11-23T11:39:47.628308	+035.7C
2018-11-23T11:39:57.523240	+035.7C
2018-11-23T11:40:07.418060	+035.7C
2018-11-23T11:40:17.313255	+035.7C
2018-11-23T11:40:27.208265	+035.7C
2018-11-23T11:40:37.102347	+035.7C
2018-11-23T11:40:46.997228	+035.7C
2018-11-23T11:40:56.892257	+035.7C
2018-11-23T11:41:06.787305	+035.6C
2018-11-23T11:41:16.682188	+035.6C
2018-11-23T11:41:26.577277	+035.6C
2018-11-23T11:41:36.472297	+035.0C
2018-11-23T11:41:46.366223	+034.0C
2018-11-23T11:41:56.261242	+033.0C
2018-11-23T11:42:06.156116	+032.0C
2018-11-23T11:42:16.051223	+031.3C
2018-11-23T11:42:25.946277	+030.4C
2018-11-23T11:42:35.840187	+029.7C
2018-11-23T11:42:45.734292	+029.0C
2018-11-23T11:42:55.628449	+028.6C
2018-11-23T11:43:05.523302	+028.1C
2018-11-23T11:43:15.418475	+027.6C
2018-11-23T11:43:25.313168	+027.2C
2018-11-23T11:43:35.208354	+026.8C
2018-11-23T11:43:45.102464	+026.5C
2018-11-23T11:43:54.997410	+026.2C
2018-11-23T11:44:04.893258	+025.9C
2018-11-23T11:44:14.787171	+025.6C
2018-11-23T11:44:24.682184	+025.3C
2018-11-23T11:44:34.577203	+025.1C
2018-11-23T11:44:44.472289	+024.9C
2018-11-23T11:44:54.366238	+024.7C
2018-11-23T11:45:04.260447	+024.6C
2018-11-23T11:45:14.155196	+024.4C
2018-11-23T11:45:24.049506	+024.3C
2018-11-23T11:45:33.944333	+024.1C
2018-11-23T11:45:43.839202	+024.0C
2018-11-23T11:45:53.733490	+023.9C
2018-11-23T11:46:03.628373	+023.7C
2018-11-23T11:46:13.523259	+023.7C
2018-11-23T11:46:23.417199	+023.6C
2018-11-23T11:46:33.312266	+023.6C
2018-11-23T11:46:43.207268	+023.5C
2018-11-23T11:46:53.102209	+023.4C
2018-11-23T11:47:02.997212	+023.4C
2018-11-23T11:47:12.891438	+023.4C
2018-11-23T11:47:22.786253	+023.3C
2018-11-23T11:47:32.681259	+023.3C
2018-11-23T11:47:42.574466	+023.3C
2018-11-23T11:47:52.469186	+023.2C
2018-11-23T11:48:02.363085	+023.2C
2018-11-23T11:48:12.257507	+023.1C
2018-11-23T11:48:22.152171	+023.1C
2018-11-23T11:48:32.047197	+023.1C
2018-11-23T11:48:41.941389	+023.1C
2018-11-23T11:48:51.836386	+023.0C
2018-11-23T11:49:01.731229	+023.0C
2018-11-23T11:49:11.626278	+023.0C
2018-11-23T11:49:21.520272	+022.9C
2018-11-23T11:49:31.413534	+022.9C
